Player	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
Christian Wood	0	8.2	0.9	1.8	0.522	0	0.4	0	0.9	1.4	0.667	0.522	0.8	1.2	0.733	1.1	1.2	2.2	0.2	0.2	0.5	0.5	0.8	2.7
Bryn Forbes	0	7.9	1	2.8	0.364	0.5	1.5	0.321	0.5	1.3	0.413	0.449	0.1	0.2	0.833	0.1	0.6	0.6	0.6	0	0	0.3	0.6	2.6
Andrew Nicholson	0	9	1.1	2.9	0.387	0.1	0.7	0.185	1	2.2	0.452	0.41	0.2	0.4	0.643	0.4	1.2	1.6	0.3	0.4	0.2	0.4	1.4	2.6
Bobby Brown	0	4.9	0.9	2.4	0.383	0.6	1.4	0.4	0.4	1	0.36	0.5	0.1	0.1	1	0	0.2	0.2	0.6	0	0	0.2	0.2	2.5
Pat Connaughton	1	8.1	0.9	1.8	0.514	0.4	0.8	0.515	0.5	1	0.513	0.632	0.2	0.2	0.778	0.3	1.1	1.3	0.7	0.2	0.1	0.4	0.6	2.5
DeAndre Liggins	19	12.5	0.9	2.3	0.387	0.3	0.7	0.37	0.6	1.5	0.396	0.447	0.4	0.6	0.625	0.3	1.4	1.7	0.9	0.8	0.2	0.7	1.3	2.5
Kevon Looney	4	8.4	1.1	2	0.523	0	0.2	0.222	1	1.8	0.551	0.533	0.4	0.6	0.618	0.8	1.5	2.3	0.5	0.3	0.3	0.3	1.2	2.5
Raul Neto	0	8.7	1	2.3	0.451	0.3	0.8	0.323	0.8	1.5	0.517	0.505	0.2	0.2	0.889	0.1	0.7	0.8	0.9	0.5	0.1	0.4	1.2	2.5
Miles Plumlee	12	10.8	1	2	0.478	0	0		1	2	0.478	0.478	0.6	0.9	0.641	0.8	1.3	2.1	0.5	0.4	0.3	0.7	1.6	2.5
Mike Scott	0	10.8	0.9	3.3	0.288	0.2	1.5	0.148	0.7	1.8	0.406	0.322	0.4	0.4	0.875	0.6	1.5	2.1	0.9	0.2	0.2	0.4	0.7	2.5
Chris Andersen	0	9.5	0.8	1.8	0.409	0	0.3	0	0.8	1.6	0.474	0.409	0.8	1.2	0.714	0.8	1.8	2.6	0.4	0.4	0.6	0.4	1.7	2.3
Chris McCullough	0	5	1	2	0.5	0.1	0.4	0.143	0.9	1.6	0.6	0.516	0.2	0.3	0.6	0.6	0.6	1.2	0.1	0.1	0.1	0.2	0.4	2.3
Greivis Vasquez	0	13	0.7	2.7	0.25	0.3	1	0.333	0.3	1.7	0.2	0.313	0.7	1	0.667	0	0.7	0.7	1.7	0.3	0.3	0.3	2	2.3
Metta World Peace	2	6.4	0.8	2.7	0.279	0.4	1.5	0.237	0.4	1.2	0.333	0.346	0.4	0.6	0.625	0.2	0.6	0.8	0.4	0.4	0.1	0.3	0.7	2.3
James Young	0	7.6	0.9	2	0.431	0.4	1.2	0.343	0.4	0.8	0.565	0.534	0.2	0.3	0.667	0.2	0.7	0.9	0.1	0.3	0.1	0.1	0.5	2.3
A.J. Hammons	0	7.4	0.8	1.9	0.405	0.2	0.5	0.5	0.5	1.5	0.375	0.464	0.4	0.9	0.45	0.4	1.3	1.6	0.2	0	0.6	0.5	1	2.2
Jake Layman	1	7.1	0.7	2.5	0.292	0.4	1.5	0.255	0.4	1.1	0.342	0.365	0.4	0.5	0.765	0.2	0.5	0.7	0.3	0.3	0.1	0.3	0.6	2.2
Treveon Graham	1	7	0.7	1.5	0.475	0.3	0.6	0.6	0.4	0.9	0.4	0.588	0.4	0.6	0.667	0.2	0.6	0.8	0.2	0.2	0	0.1	0.7	2.1
Joe Young	0	4.1	0.8	2.2	0.361	0.2	0.7	0.217	0.6	1.5	0.429	0.396	0.3	0.5	0.733	0	0.5	0.5	0.5	0.1	0	0.2	0.2	2.1
Rakeem Christmas	0	7.6	0.7	1.5	0.442	0	0		0.7	1.5	0.442	0.442	0.7	1	0.724	0.9	1	1.9	0.1	0.1	0.2	0.3	1.3	2
Manny Harris	0	6.3	0.8	3.8	0.2	0	0.5	0	0.8	3.3	0.231	0.2	0.5	1	0.5	0.8	1.5	2.3	0.5	0	0	0.5	0.3	2
Demetrius Jackson	0	3.4	0.6	0.8	0.75	0.2	0.2	1	0.4	0.6	0.667	0.875	0.6	1.2	0.5	0.4	0.4	0.8	0.6	0	0	0	0	2
Gary Neal	0	9	0	3.5	0	0	1	0	0	2.5	0	0	2	2	1	0	0.5	0.5	0.5	0	0	0	0.5	2
Udonis Haslem	0	8.1	0.7	1.4	0.478	0	0.2	0	0.7	1.3	0.55	0.478	0.6	0.9	0.6	0.5	1.8	2.3	0.4	0.4	0.1	0.5	1.4	1.9
Damian Jones	0	8.5	0.8	1.6	0.5	0	0		0.8	1.6	0.5	0.5	0.3	1	0.3	0.9	1.4	2.3	0	0.1	0.4	0.6	1.5	1.9
Marshall Plumlee	1	8.1	0.8	1.4	0.533	0	0		0.8	1.4	0.533	0.533	0.4	0.9	0.421	1.1	1.3	2.4	0.5	0.2	0.2	0.6	1.1	1.9
Tim Quarterman	0	5	0.8	1.8	0.448	0.3	0.8	0.385	0.5	1	0.5	0.534	0	0.2	0	0.3	0.6	0.9	0.7	0.1	0.2	0.7	0.4	1.9
Joel Bolomboy	0	4.4	0.8	1.3	0.563	0.1	0.3	0.25	0.7	1	0.667	0.594	0.3	0.5	0.5	0.3	1.1	1.4	0.2	0.1	0.2	0.2	0.1	1.8
John Jenkins	0	3.3	0.5	1.3	0.4	0.3	0.5	0.5	0.3	0.8	0.333	0.5	0.5	0.5	1	0	0.3	0.3	0.3	0	0	0	0	1.8
Lamar Patterson	0	8	0.6	3	0.2	0.2	1.2	0.167	0.4	1.8	0.222	0.233	0.4	0.6	0.667	0.2	1.2	1.4	1.2	0.2	0	0.8	1.2	1.8
Damjan Rudez	0	7	0.7	2	0.352	0.4	1.4	0.313	0.2	0.5	0.458	0.466	0	0		0.1	0.4	0.6	0.4	0.3	0	0.2	0.7	1.8
Cole Aldrich	0	8.6	0.7	1.4	0.523	0	0		0.7	1.4	0.523	0.523	0.2	0.4	0.682	0.8	1.7	2.5	0.4	0.4	0.4	0.3	1.4	1.7
Nick Collison	0	6.4	0.7	1.2	0.609	0	0.1	0	0.7	1.1	0.636	0.609	0.3	0.4	0.625	0.5	1.1	1.6	0.6	0.1	0.1	0.2	0.9	1.7
Jordan Hill	0	6.7	0.7	1.9	0.385	0	0		0.7	1.9	0.385	0.385	0.3	0.3	1	1.1	0.9	2	0	0.1	0	0.6	1.3	1.7
Bruno Caboclo	0	4.4	0.7	1.8	0.375	0.2	0.7	0.333	0.4	1.1	0.4	0.438	0	0		0.6	0.6	1.1	0.4	0.2	0.1	0.2	0.4	1.6
Deyonta Davis	0	6.6	0.7	1.3	0.511	0	0		0.7	1.3	0.511	0.511	0.3	0.5	0.556	0.6	1.1	1.7	0.1	0.1	0.5	0.2	1.1	1.6
Ryan Kelly	0	6.9	0.5	1.8	0.286	0.3	0.6	0.4	0.3	1.1	0.222	0.357	0.3	0.4	0.833	0.1	1.1	1.1	0.5	0.3	0.3	0.3	0.3	1.6
Jordan Mickey	1	5.6	0.6	1.4	0.441	0	0	0	0.6	1.3	0.455	0.441	0.3	0.6	0.571	0.5	0.8	1.4	0.3	0.1	0.2	0.4	0.5	1.5
Elijah Millsap	0	11.5	0.5	3.5	0.143	0	1	0	0.5	2.5	0.2	0.143	0.5	1	0.5	1.5	1.5	3	0.5	0	0	1	1	1.5
Jarnell Stokes	0	3.5	0.5	0.5	1	0	0		0.5	0.5	1	1	0.5	1	0.5	0.5	0.5	1	1	0.5	0	0	1.5	1.5
Mike Miller	0	7.6	0.5	1.2	0.391	0.4	1	0.4	0.1	0.2	0.333	0.565	0.1	0.1	1	0.1	1.8	1.9	1.1	0.1	0	0.7	0.5	1.4
Diamond Stone	0	3.4	0.4	1.9	0.231	0	0		0.4	1.9	0.231	0.231	0.6	0.6	1	0.1	0.7	0.9	0	0	0.1	0.3	0.7	1.4
Joel Anthony	0	6.4	0.5	0.8	0.625	0	0		0.5	0.8	0.625	0.625	0.3	0.4	0.625	0.4	1.2	1.6	0.2	0.1	0.3	0.2	0.6	1.3
Brice Johnson	0	3	0.7	2.3	0.286	0	0		0.7	2.3	0.286	0.286	0	0		0.3	0.7	1	0.3	0.7	0.3	0.3	0	1.3
Daniel Ochefu	0	3.9	0.6	1.4	0.444	0	0		0.6	1.4	0.444	0.444	0	0.1	0	0.3	0.9	1.2	0.2	0.1	0	0.2	0.9	1.3
Anderson Varejao	1	6.6	0.4	1	0.357	0	0		0.4	1	0.357	0.357	0.6	0.8	0.727	0.9	1.1	1.9	0.7	0.2	0.2	0.6	1.1	1.3
Stephen Zimmerman	0	5.7	0.5	1.6	0.323	0	0		0.5	1.6	0.323	0.323	0.2	0.3	0.6	0.6	1.3	1.8	0.2	0.1	0.3	0.2	0.9	1.2
Ronnie Price	0	9.6	0.3	1.7	0.167	0.2	1.2	0.176	0.1	0.5	0.143	0.229	0.2	0.3	0.75	0.2	0.6	0.8	1.3	0.8	0.1	0.2	1	1
Mike Tobey	0	12.5	0.5	2	0.25	0	0		0.5	2	0.25	0.25	0	0		1	0.5	1.5	0.5	0	0	0.5	1	1
C.J. Wilcox	0	4.9	0.4	1.4	0.258	0.1	0.7	0.2	0.2	0.7	0.313	0.306	0.1	0.1	1	0.2	0.4	0.5	0.5	0.1	0	0.3	0.4	1
Georges Niang	0	4	0.4	1.6	0.25	0	0.5	0.083	0.3	1	0.333	0.264	0.1	0.1	1	0.1	0.7	0.7	0.2	0.1	0	0.2	0.3	0.9
Kyle Wiltjer	0	3.1	0.3	1	0.286	0.3	0.9	0.308	0	0.1	0	0.429	0.1	0.1	0.5	0.3	0.4	0.7	0.1	0.2	0.1	0.4	0.3	0.9
Alonzo Gee	0	6.8	0.2	1.1	0.214	0	0.2	0	0.2	0.8	0.273	0.214	0.4	0.7	0.556	0.3	0.8	1.2	0.5	0.4	0.1	0.3	1.1	0.8
Larry Sanders	0	2.6	0.2	0.8	0.25	0	0		0.2	0.8	0.25	0.25	0.4	0.4	1	0.6	0.2	0.8	0	0.2	0.2	0.4	1	0.8
Isaiah Taylor	0	13	0.3	1.8	0.143	0	0.5	0	0.3	1.3	0.2	0.143	0.3	0.5	0.5	0.3	0.5	0.8	0.8	0.3	0.3	0	1.5	0.8
Steve Novak	0	2.8	0.3	0.9	0.286	0.1	0.8	0.167	0.1	0.1	1	0.357	0	0		0	0.4	0.4	0	0	0	0	0.1	0.6
Arinze Onuaku	0	3.5	0.3	0.5	0.5	0	0		0.3	0.5	0.5	0.5	0	0		0.3	0.5	0.8	0.3	0	0.1	0.3	0.4	0.5
Michael Gbinije	0	3.6	0.1	1.1	0.1	0	0.4	0	0.1	0.7	0.167	0.1	0.2	0.2	1	0.2	0.1	0.3	0.2	0	0	0	0.2	0.4
John Lucas III	0	2.2	0.2	0.8	0.25	0	0.2	0	0.2	0.6	0.333	0.25	0	0		0	0	0	0.2	0.4	0	0	0	0.4
Aaron Harrison	0	3.4	0	0.8	0	0	0.4	0	0	0.4	0	0	0.2	0.4	0.5	0	0.6	0.6	0.6	0	0	0	0.4	0.2
Ben Bentil	0	3.3	0	1	0	0	0.3	0	0	0.7	0	0	0	0		0	0.7	0.7	0	0	0	0.3	0.3	0
Patricio Garino	0	8.6	0	1.4	0	0	1	0	0	0.4	0	0	0	0		0.2	1.2	1.4	0	0	0	0.6	0.8	0
Danuel House	0	1	0	0		0	0		0	0			0	0		0	1	1	0	0	0	0	0	0
R.J. Hunter	0	3	0	0.3	0	0	0.3	0	0	0		0	0	0		0	0.3	0.3	0	0	0	0	0	0
